fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,35951028.0,386729000.0,382073000.0,36835937250.0,36392453250.0,38001614316.0,1057.03832213,2330.34668497
Coal,2002,35388251.0,380629000.0,376636000.0,36254912250.0,35874579000.0,37632855589.1,1063.42796057,2344.43328187
Coal,2003,36115624.0,381423000.0,376304000.0,36330540750.0,35842956000.0,38324446463.9,1061.15974803,2339.43278051
Coal,2004,35848390.48,378528980.0,373006630.0,36054885345.0,35528881507.5,37801829968.4,1054.491693,2324.73238638
Coal,2005,35570134.87,376774360.0,370362620.0,35887757790.0,35277039555.0,37693813951.8,1059.70399296,2336.22342288
Coal,2006,36269424.96,386368740.0,379906470.0,36801622485.0,36186091267.5,38123375816.9,1051.1160808,2317.29051174
Coal,2007,35935739.27,382944890.0,377137790.0,36475500772.5,35922374497.5,37176063181.8,1034.51505206,2280.69188378
Coal,2008,34827545.11,373035240.0,367442030.0,35531606610.0,34998853357.5,36346163877.0,1043.60395664,2300.72928282
Coal,2009,31636022.85,340480370.0,335201750.0,32430755242.5,31927966687.5,33176430571.4,1048.69157317,2311.94544221
Coal,2010,34559289.95,369089290.0,364292150.0,35155754872.5,34698827287.5,36271552246.7,1049.54564458,2313.82832803
Coal,2011,33954686.6,362384320.0,357733100.0,34517106480.0,34074077775.0,34931062529.2,1028.75526259,2267.9938519
Coal,2012,34521020.16,364738130.0,359658770.0,34741306882.5,34257497842.5,34918999797.8,1011.52861752,2230.01599018
Coal,2013,33703436.83,356974140.0,353040100.0,34001786835.0,33627069525.0,34410444273.4,1020.97731003,2250.84657769
Coal,2014,32544848.89,343165160.0,339537050.0,32686481490.0,32340904012.5,33195790302.6,1020.00136534,2248.69501003
Coal,2015,31540894.71,333233400.0,330399910.0,31740481350.0,31470591427.5,32885825125.2,1042.6408454,2298.60600778
Coal,2016,29980065.38,317318020.0,314535370.0,30224541405.0,29959493992.5,30757950558.8,1025.94674724,2261.80219897
Coal,2017,7618807.27,80968920.0,80521770.0,7712289630.0,7669698592.5,7913796118.28,1038.71850774,2289.95882217
Hydro,2001,1494698.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,1209006.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,1262198.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,1194664.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,1415296.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,1791207.03,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,1729532.63,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,2039326.98,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,1885724.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,1578263.6,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,2082621.41,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,1497208.98,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,1212872.03,,,0.0,0.0,0.0,0.0,0.0
