end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2017,3,3397674.43,2017-03-01,1,36514030.0,36120900.0,3477961357.5,3440515725.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2017,2,3046054.68,2017-02-01,1,32894630.0,32725100.0,3133213507.5,3117065775.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2017,1,3731647.28,2017-01-01,1,40287070.0,40104430.0,3837343417.5,3819946957.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,12,3517433.59,2016-12-01,4,37075750.0,36732370.0,3531465187.5,3498758242.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,11,3138451.09,2016-11-01,4,33745700.0,33490260.0,3214277925.0,3189947265.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,10,2903806.25,2016-10-01,4,31131790.0,30843960.0,2965302997.5,2937887190.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,9,3393580.88,2016-09-01,3,36347090.0,36092900.0,3462060322.5,3437848725.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,8,4000923.04,2016-08-01,3,43190820.0,42914820.0,4113925605.0,4087636605.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,7,4078723.81,2016-07-01,3,43978690.0,43682400.0,4188970222.5,4160748600.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,6,3791622.77,2016-06-01,2,40368500.0,40057600.0,3845099625.0,3815486400.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,5,2833819.86,2016-05-01,2,30727910.0,30428860.0,2926833427.5,2898348915.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,4,2246128.38,2016-04-01,2,24614890.0,24354460.0,2344568272.5,2319762315.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,3,2880615.29,2016-03-01,1,31631070.0,31186210.0,3012859417.5,2970486502.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,2,3415628.48,2016-02-01,1,37278000.0,36789890.0,3550729500.0,3504237022.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2016,1,4359519.23,2016-01-01,1,46800750.0,46134150.0,4457771437.5,4394277787.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,12,3993427.96,2015-12-01,4,42380120.0,41970710.0,4036706430.0,3997710127.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,11,4204690.21,2015-11-01,4,44521210.0,44095680.0,4240645252.5,4200113520.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,10,4101979.64,2015-10-01,4,43712460.0,43258320.0,4163611815.0,4120354980.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,9,4437782.67,2015-09-01,3,47900460.0,47329770.0,4562518815.0,4508160592.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,8,5026263.19,2015-08-01,3,53784810.0,53239170.0,5123003152.5,5071030942.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,7,5118748.5,2015-07-01,3,54319940.0,53764580.0,5173974285.0,5121076245.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,6,4553583.87,2015-06-01,2,48225660.0,47776890.0,4593494115.0,4550748772.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,5,4277018.52,2015-05-01,2,45394720.0,44818300.0,4323847080.0,4268943075.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,4,4177983.86,2015-04-01,2,44512240.0,44029870.0,4239790860.0,4193845117.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,3,4309455.16,2015-03-01,1,46136820.0,45656490.0,4394532105.0,4348780672.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,2,4369896.59,2015-02-01,1,45598390.0,45168990.0,4343246647.5,4302346297.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2015,1,4313202.55,2015-01-01,1,46287560.0,45897290.0,4408890090.0,4371716872.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,12,3972742.04,2014-12-01,4,41958850.0,41548250.0,3996580462.5,3957470812.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,11,3966997.62,2014-11-01,4,43007000.0,42580310.0,4096416750.0,4055774527.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,10,3985343.59,2014-10-01,4,42406690.0,42019270.0,4039237222.5,4002335467.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,9,4252736.34,2014-09-01,3,45784280.0,45317480.0,4360952670.0,4316489970.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,8,5413015.44,2014-08-01,3,56956860.0,56442840.0,5425140915.0,5376180510.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,7,5236220.6,2014-07-01,3,55192510.0,54670100.0,5257086577.5,5207327025.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,6,4596452.12,2014-06-01,2,48997890.0,48458250.0,4667049022.5,4615648312.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,5,3849853.77,2014-05-01,2,41302190.0,40855740.0,3934033597.5,3891509235.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,4,3217553.58,2014-04-01,2,34854790.0,34364940.0,3319918747.5,3273260535.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,3,4872122.92,2014-03-01,1,51751130.0,50952390.0,4929295132.5,4853215147.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,2,4511228.02,2014-02-01,1,48159010.0,47415490.0,4587145702.5,4516325422.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2014,1,5025578.14,2014-01-01,1,53443570.0,52747140.0,5090500042.5,5024165085.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,12,5018243.47,2013-12-01,4,52721780.0,52113900.0,5021749545.0,4963848975.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,11,4635503.51,2013-11-01,4,49789370.0,48963330.0,4742437492.5,4663757182.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,10,4540518.22,2013-10-01,4,48481310.0,47955330.0,4617844777.5,4567745182.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,9,4725845.67,2013-09-01,3,49969560.0,49428340.0,4759600590.0,4708049385.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,8,5322748.61,2013-08-01,3,57174850.0,56471970.0,5445904462.5,5378955142.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,7,5312459.09,2013-07-01,3,56992230.0,56327200.0,5428509907.5,5365165800.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,6,4865534.78,2013-06-01,2,52447530.0,51828840.0,4995627232.5,4936697010.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,5,4204001.36,2013-05-01,2,44899030.0,44277000.0,4276632607.5,4217384250.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,4,3698341.39,2013-04-01,2,40317450.0,39564420.0,3840237112.5,3768511005.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,3,4335884.58,2013-03-01,1,47318250.0,46357710.0,4507063312.5,4415571877.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,2,4747554.15,2013-02-01,1,50136340.0,49185030.0,4775486385.0,4684874107.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2013,1,4884818.0,2013-01-01,1,52440260.0,51596740.0,4994934765.0,4914589485.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,12,4710252.55,2012-12-01,4,50549330.0,49769880.0,4814823682.5,4740581070.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,11,4522664.42,2012-11-01,4,49092950.0,48303550.0,4676103487.5,4600913137.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,10,4143394.44,2012-10-01,4,44557080.0,43689720.0,4244061870.0,4161445830.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,9,4369743.33,2012-09-01,3,47912570.0,47209030.0,4563672292.5,4496660107.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,8,5459159.34,2012-08-01,3,58393100.0,57409210.0,5561942775.0,5468227252.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,7,5532429.48,2012-07-01,3,60082290.0,59210970.0,5722838122.5,5639844892.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,6,4482937.42,2012-06-01,2,47849720.0,47002140.0,4557685830.0,4476953835.0
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,5,4288261.37,2012-05-01,2,46025180.0,45168030.0,4383898395.0,4302254857.5
201703,M,USA-MI,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-MI-99.M,200101,COW,megawatthours,2012,4,3680860.54,2012-04-01,2,39269020.0,38443180.0,3740374155.0,3661712895.0
